BaseFunction,false,true,Default,,
Call,true,false,Default,,Target;@Arguments
Const,false,false,Default,,
Function,true,true,BaseFunction,,@Parameters;Body
Fusion,true,true,BaseFunction,,@Parameters;Body
If,true,false,Default,,Condition;Then;Else
Marker,true,false,Default,,Target;Attribute
None,true,false,Default,,
Op,true,false,Default,,
PrimFunctionWrapper,true,true,BaseFunction,,Target
TensorConst,true,false,Const,,
Tuple,true,false,Default,IR.,@Fields
TupleConst,true,false,Const,,
MemSpan,true,false,Default,TIR.,Start;Size;
Var,true,false,Default,,
Block,true,false,Default,TIR.,Body;InitBody;@IterVars;@Reads;@Writes;@AllocBuffers;Predicate
Buffer,true,false,Default,TIR.,MemSpan;@Dimensions;@Strides;
BufferRegion,true,false,Default,TIR.,Buffer;@Region
For,true,false,Default,TIR.,LoopVar;Domain;Body
IfThenElse,true,false,Default,TIR.,Condition;Then;Else
Let,true,false,Default,TIR.,Var;Expression;Body
PrimFunction,true,true,Default,TIR.,@Parameters;Body
Sequential,true,false,Default,TIR.,@Fields
Range,true,false,Default,TIR.,Start;Stop;Step
IterVar,true,false,Default,TIR.,Value;Dom
# Affine
AffineExpr,false,false,Default,Affine.,
AffineSymbolBase,false,false,AffineExpr,Affine.,
AffineDim,true,false,AffineExpr,Affine.,
AffineExtent,true,false,AffineSymbolBase,Affine.,
AffineSymbol,true,false,AffineSymbolBase,Affine.,
AffineConstant,true,false,AffineSymbolBase,Affine.,
AffineAddBinary,true,false,AffineExpr,Affine.,Lhs;Rhs
AffineMulBinary,true,false,AffineExpr,Affine.,Lhs;Rhs
AffineDivBinary,true,false,AffineExpr,Affine.,Lhs;Rhs
AffineDomain,true,false,Default,Affine.,Offset;Extent
AffineRange,true,false,Default,Affine.,Offset;Extent
AffineMap,true,false,Default,Affine.,@Domains;@Symbols;@Results
AffineRelation,true,false,Default,Affine.,@Domains;@Symbols;@Results
Grid,true,false,Default,Affine.,DomainParameter;@BodyParameters;@AccessMaps;@Buffers;@Reads;Body
Load,true,false,Default,Affine.,Source;Region
For,true,false,Default,Affine.,Domain;Body
# Buffers
BufferOf,true,false,Default,Buffers.,Input
